LAT,LON,scrubbed.name,GENUS,SPECIES,FAMILY,YEAR,FULLNAME,uID,ALT,GEODESC,PLANTDESC,LOCDESC,HABDESC,SCRUBBEDGENUS
18.31556667,-65.82966667,Prestoea montana,Prestoea,acuminata,ARECACEAE,2011,Prestoea acuminata (Willd.) H.E. Moore var. montana (Graham) A.J. Hend. & Galeano                  ,1770 UPRRP,NULL,"Rio Grande, Bosque Nacional El Yunque, Carretera 911, ca. 385 m de la carretera 186.","Planta ca. 4 m. Hojas ca. 3 m de largo, infl. ca. 1 m, con el raquis rosado-amarillento; fr. verdes tornandose negros al madurar.                                                                                                                             ","Carretera 911, ca. 385 m de la carretera 186.",Bosque humedo a la orilla del camino.                                                                                                                                     ,Prestoea
18.31556667,-65.82966667,Prestoea montana,Prestoea,acuminata,ARECACEAE,2011,Prestoea acuminata (Willd.) H.E. Moore var. montana (Graham) A.J. Hend. & Galeano                  ,1771 UPRRP,NULL,"Rio Grande, Bosque Nacional El Yunque, Carretera 911, ca. 385 m de la carretera 186.","Planta ca. 4 m. Hojas ca. 3 m de largo, infl. ca. 1 m, con el raquis rosado-amarillento; fr. verdes tornandose negros al madurar.                                                                                                                             ","Carretera 911, ca. 385 m de la carretera 186.",Bosque humedo a la orilla del camino.                                                                                                                                     ,Prestoea
18.31556667,-65.82966667,Prestoea montana,Prestoea,acuminata,ARECACEAE,2011,Prestoea acuminata (Willd.) H.E. Moore var. montana (Graham) A.J. Hend. & Galeano                  ,1772 UPRRP,NULL,"Rio Grande, Bosque Nacional El Yunque, Carretera 911, ca. 385 m de la carretera 186.","Planta ca. 4 m. Hojas ca. 3 m de largo, infl. ca. 1 m, con el raquis rosado-amarillento; fr. verdes tornandose negros al madurar.                                                                                                                             ","Carretera 911, ca. 385 m de la carretera 186.",Bosque humedo a la orilla del camino.                                                                                                                                     ,Prestoea
18.08025,-66.03221667,Prestoea montana,Prestoea,acuminata,ARECACEAE,2008,Prestoea acuminata (Willd.) H.E. Moore var. montana (Graham) A.J. Hend. & Galeano                  ,1773 UPRRP,NULL,"Patillas,   Las Casas de la Selva, Forest trail.",Fruits green.,Forest trail.,"Wet broadleaf, secondary forest.",Prestoea
18.31556667,-65.82966667,Prestoea montana,Prestoea,acuminata,ARECACEAE,2011,Prestoea acuminata (Willd.) H.E. Moore var. montana (Graham) A.J. Hend. & Galeano                  ,1775 UPRRP,NULL,"Rio Grande, Bosque Nacional El Yunque, Carretera 911, ca. 385 m de la carretera 186.","Planta ca. 4 m. Hojas ca. 3 m de largo, infl. ca. 1 m, con el raquis rosado-amarillento; fr. verdes tornandose negros al madurar.                                                                                                                             ","Carretera 911, ca. 385 m de la carretera 186.",Bosque humedo a la orilla del camino.                                                                                                                                     ,Prestoea
18.32316667,-65.82033333,Prestoea montana,Prestoea,acuminata,ARECACEAE,2007,Prestoea acuminata (Willd.) H.E. Moore var. montana (Graham) A.J. Hend. & Galeano                  ,1776 UPRRP,NULL,"Rio Grande, Sierra de Luquillo,   El Verde Research Station, Between 186 road and El Verde Exp. Station.",Palm (5m tall). White flowers.,Between 186 road and El Verde Exp. Station.,Wet broad leaf forest.,Prestoea
18.15,-66.983333,Prestoea montana,Prestoea,acuminata,ARECACEAE,1995,Prestoea acuminata var. montana (Willd.) H.E.Moore,369 MAPR,820,Maricao,NA,"Maricao Forest Reserve.  Río Maricao drainage, on NE facing slope, N of Hwy 120 Km 15.7 -15.8.",Serpentine.,Prestoea
18.283333,-65.783333,Prestoea montana,Prestoea,acuminata,ARECACEAE,1994,Prestoea acuminata var. montana (Willd.) H.E.Moore,10514 MAPR,0,Naguabo,NA,"El Yunque National Forest (formerly Caribbean National Forest).  13-14km on Rt 191, south of road to Pico El Yunque.",,Prestoea
18.08025,-66.03222,Prestoea montana,Prestoea,montana,ARECACEAE,2008,Prestoea montana Hook.f.,GBIF http://n2t.net/ark:/65665/319bf365a-efd4-46a5-a9a9-70f7efa155d1,362,"Mun. Patillas, Las Casas de la Selva. Forest Trail, Sierra Palm.",NA,NA,NA,Prestoea
18.28,-65.78,Prestoea montana,Prestoea,montana,ARECACEAE,1994,Prestoea montana Hook.f.,GBIF 46733b27-0c78-4e8e-9766-7bd8e0d52431,650,"Caribbean National Forest, 13-14km on Rte 191, S of road to Pico El Yunque",NA,NA,NA,Prestoea
18.11666,-66.05,Prestoea montana,Prestoea,montana,ARECACEAE,1991,Prestoea montana Hook.f.,GBIF urn:catalog:MO:Tropicos:291074,NA,Municipio of Cayey. Just W of the inter√∏ section of routes 184 and 179. Private road along ridge leading to Barrio Farrall√≥n.,NA,NA,NA,Prestoea
